B[mm],H[mm],t[mm],L[mm],fy[MPa],fc[MPa],Ntest[kN]
120,120,4,360,495,60,1701
120,120,4,360,495,60,1657
130,130,4,390,495,60,2020
130,130,4,390,495,60,2018
106,106,4,320,495,89,1749
106,106,4,320,495,89,1824
140,140,4,420,495,89,2752
140,140,4,420,495,89,2828
120,120,5.8,360,300,83,1697
120,120,5.8,360,300,106,1919
200,200,5.8,600,300,83,3996
200,200,5.8,600,300,83,3862
120,120,4,360,495,55,1739
120,120,4,360,495,55,1718
130,130,4,390,495,55,1963
130,130,4,390,495,55,1988
127,127,3.2,611,356,30.5,917
127,127,4.3,608,357,26,1095
127,127,4.6,609,322,23.8,1113
127,127,5.7,607,312,23.8,1202
127,127,7.5,610,347,23.8,2069
